anime_id,top 10 cosine similarities
32281,"[(547, 1.0), (546, 1.0), (14669, 0.89442719099991586), (28725, 0.86602540378443871), (6351, 0.86602540378443871), (10067, 0.86602540378443871), (2129, 0.86602540378443871), (8481, 0.86602540378443871), (20903, 0.86602540378443871), (2927, 0.86602540378443871)]"
5114,"[(121, 0.93541434669348522), (9135, 0.93541434669348522), (6421, 0.92582009977255142), (18321, 0.85714285714285698), (18115, 0.84515425472851646), (14513, 0.84515425472851646), (31741, 0.84515425472851646), (22097, 0.84515425472851646), (8086, 0.84515425472851646), (6046, 0.84515425472851646)]"
28977,"[(9969, 0.99999999999999989), (15335, 0.99999999999999989), (15417, 0.99999999999999989), (918, 0.99999999999999989), (21899, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
9253,"[(11577, 0.99999999999999978), (10863, 0.99999999999999978), (32188, 0.99999999999999978), (30484, 0.99999999999999978), (27387, 0.81649658092772592), (7598, 0.81649658092772592), (12723, 0.81649658092772592), (13429, 0.70710678118654746), (3268, 0.70710678118654746), (6610, 0.70710678118654746)]"
9969,"[(28977, 0.99999999999999989), (15335, 0.99999999999999989), (15417, 0.99999999999999989), (918, 0.99999999999999989), (21899, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
32935,"[(28891, 0.99999999999999978), (20583, 0.99999999999999978), (170, 0.99999999999999978), (29755, 0.99999999999999978), (30364, 0.99999999999999978), (9077, 0.99999999999999978), (16514, 0.99999999999999978), (2499, 0.9128709291752769), (2498, 0.9128709291752769), (1861, 0.9128709291752769)]"
11061,"[(136, 1.0), (137, 1.0), (139, 1.0), (138, 1.0), (13271, 1.0), (10189, 1.0), (19951, 1.0), (27943, 1.0), (16754, 1.0), (13667, 0.89442719099991586)]"
820,"[(3665, 1.0), (342, 1.0), (711, 1.0), (11307, 1.0), (12029, 0.89442719099991586), (3016, 0.89442719099991586), (2158, 0.89442719099991586), (85, 0.89442719099991586), (23249, 0.89442719099991586), (87, 0.89442719099991586)]"
15335,"[(28977, 0.99999999999999989), (9969, 0.99999999999999989), (15417, 0.99999999999999989), (918, 0.99999999999999989), (21899, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
15417,"[(28977, 0.99999999999999989), (9969, 0.99999999999999989), (15335, 0.99999999999999989), (918, 0.99999999999999989), (21899, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
4181,"[(1530, 0.89442719099991586), (101, 0.89442719099991586), (1965, 0.89442719099991586), (144, 0.89442719099991586), (704, 0.89442719099991586), (32983, 0.79999999999999982), (11665, 0.79999999999999982), (10379, 0.79999999999999982), (5300, 0.79999999999999982), (4081, 0.79999999999999982)]"
28851,"[(11313, 0.86602540378443871), (18317, 0.86602540378443871), (24489, 0.86602540378443871), (10935, 0.81649658092772592), (10775, 0.81649658092772592), (13175, 0.81649658092772592), (2714, 0.81649658092772592), (33902, 0.81649658092772592), (2779, 0.81649658092772592), (19695, 0.81649658092772592)]"
918,"[(28977, 0.99999999999999989), (9969, 0.99999999999999989), (15335, 0.99999999999999989), (15417, 0.99999999999999989), (21899, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
2904,"[(34437, 1.0000000000000002), (7270, 0.9128709291752769), (30549, 0.9128709291752769), (560, 0.9128709291752769), (8098, 0.9128709291752769), (17080, 0.9128709291752769), (75, 0.9128709291752769), (2583, 0.9128709291752769), (32034, 0.9128709291752769), (8250, 0.9128709291752769)]"
28891,"[(32935, 0.99999999999999978), (20583, 0.99999999999999978), (170, 0.99999999999999978), (29755, 0.99999999999999978), (30364, 0.99999999999999978), (9077, 0.99999999999999978), (16514, 0.99999999999999978), (2499, 0.9128709291752769), (2498, 0.9128709291752769), (1861, 0.9128709291752769)]"
199,"[(26359, 0.86602540378443871), (360, 0.86602540378443871), (18731, 0.86602540378443871), (28805, 0.81649658092772592), (10389, 0.81649658092772592), (10471, 0.81649658092772592), (2141, 0.81649658092772592), (5084, 0.81649658092772592), (4926, 0.81649658092772592), (1554, 0.81649658092772592)]"
23273,"[(33743, 0.9128709291752769), (11313, 0.89442719099991586), (17020, 0.89442719099991586), (12531, 0.79999999999999982), (5504, 0.79999999999999982), (1727, 0.79999999999999982), (28851, 0.7745966692414834), (28725, 0.7745966692414834), (31988, 0.7745966692414834), (27989, 0.7745966692414834)]"
24701,"[(21939, 0.99999999999999989), (457, 0.99999999999999989), (28957, 0.99999999999999989), (21329, 0.99999999999999989), (24687, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
12355,"[(5203, 0.99999999999999978), (2223, 0.99999999999999978), (13173, 0.99999999999999978), (11049, 0.99999999999999978), (23343, 0.99999999999999978), (28675, 0.81649658092772592), (18153, 0.81649658092772592), (23385, 0.81649658092772592), (32673, 0.81649658092772592), (831, 0.81649658092772592)]"
1575,"[(4596, 0.9128709291752769), (2124, 0.9128709291752769), (2904, 0.83333333333333348), (34437, 0.83333333333333348), (6768, 0.81649658092772615), (4416, 0.81649658092772615), (8888, 0.81649658092772615), (2969, 0.81649658092772615), (27829, 0.81649658092772615), (3223, 0.81649658092772615)]"
263,"[(5258, 1.0), (19647, 1.0), (627, 1.0), (558, 1.0), (3226, 1.0), (24277, 1.0), (12069, 1.0), (18179, 1.0), (30413, 1.0), (18177, 1.0)]"
44,"[(2216, 0.83333333333333348), (12279, 0.83333333333333348), (12067, 0.81649658092772615), (6581, 0.81649658092772615), (1576, 0.81649658092772615), (5386, 0.81649658092772615), (1977, 0.81649658092772615), (14347, 0.81649658092772615), (11547, 0.77151674981045948), (6594, 0.73029674334022143)]"
1,"[(4037, 1.0000000000000002), (1226, 0.92582009977255142), (400, 0.9128709291752769), (2202, 0.9128709291752769), (2203, 0.9128709291752769), (1490, 0.9128709291752769), (2470, 0.9128709291752769), (2717, 0.9128709291752769), (3175, 0.9128709291752769), (1921, 0.83333333333333348)]"
30276,"[(31772, 0.99999999999999989), (31704, 0.99999999999999989), (34134, 0.99999999999999989), (16157, 0.77151674981045948), (21353, 0.77151674981045948), (6582, 0.7559289460184544), (5005, 0.7559289460184544), (3349, 0.7559289460184544), (8314, 0.7559289460184544), (8215, 0.7559289460184544)]"
164,"[(22199, 1.0000000000000002), (30911, 1.0000000000000002), (1696, 1.0000000000000002), (1954, 1.0000000000000002), (5940, 1.0000000000000002), (26449, 1.0000000000000002), (10260, 1.0000000000000002), (7752, 1.0000000000000002), (31927, 1.0000000000000002), (20961, 1.0000000000000002)]"
7311,"[(6974, 0.9128709291752769), (1543, 0.81649658092772615), (26019, 0.81649658092772615), (32262, 0.81649658092772615), (28677, 0.77151674981045948), (4382, 0.77151674981045948), (17074, 0.73029674334022143), (20785, 0.73029674334022143), (14669, 0.73029674334022143), (17641, 0.73029674334022143)]"
17074,"[(5081, 0.89442719099991586), (28929, 0.89442719099991586), (8536, 0.79999999999999982), (9260, 0.7745966692414834), (31181, 0.7745966692414834), (11597, 0.7745966692414834), (28025, 0.7745966692414834), (21855, 0.7745966692414834), (15689, 0.7745966692414834), (33209, 0.7745966692414834)]"
21939,"[(24701, 0.99999999999999989), (457, 0.99999999999999989), (28957, 0.99999999999999989), (21329, 0.99999999999999989), (24687, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
457,"[(24701, 0.99999999999999989), (21939, 0.99999999999999989), (28957, 0.99999999999999989), (21329, 0.99999999999999989), (24687, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
2001,"[(763, 0.99999999999999978), (3352, 0.99999999999999978), (10622, 0.99999999999999978), (4504, 0.99999999999999978), (5475, 0.99999999999999978), (8853, 0.99999999999999978), (1231, 0.9128709291752769), (212, 0.9128709291752769), (1194, 0.9128709291752769), (3232, 0.9128709291752769)]"
245,"[(11739, 0.9128709291752769), (10460, 0.9128709291752769), (2499, 0.9128709291752769), (2498, 0.9128709291752769), (1861, 0.9128709291752769), (1764, 0.9128709291752769), (5992, 0.9128709291752769), (10943, 0.9128709291752769), (19363, 0.89442719099991586), (11843, 0.89442719099991586)]"
32983,"[(11665, 0.99999999999999978), (10379, 0.99999999999999978), (5300, 0.99999999999999978), (4081, 0.99999999999999978), (20651, 0.99999999999999978), (18849, 0.99999999999999978), (4181, 0.79999999999999982), (1524, 0.79999999999999982), (13993, 0.79999999999999982), (6787, 0.79999999999999982)]"
5258,"[(263, 1.0), (19647, 1.0), (627, 1.0), (558, 1.0), (3226, 1.0), (24277, 1.0), (12069, 1.0), (18179, 1.0), (30413, 1.0), (18177, 1.0)]"
28957,"[(24701, 0.99999999999999989), (21939, 0.99999999999999989), (457, 0.99999999999999989), (21329, 0.99999999999999989), (24687, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
11665,"[(32983, 0.99999999999999978), (10379, 0.99999999999999978), (5300, 0.99999999999999978), (4081, 0.99999999999999978), (20651, 0.99999999999999978), (18849, 0.99999999999999978), (4181, 0.79999999999999982), (1524, 0.79999999999999982), (13993, 0.79999999999999982), (6787, 0.79999999999999982)]"
431,"[(1141, 1.0), (585, 0.89442719099991586), (1140, 0.89442719099991586), (124, 0.89442719099991586), (16067, 0.86602540378443871), (597, 0.86602540378443871), (1379, 0.86602540378443871), (2175, 0.86602540378443871), (9760, 0.86602540378443871), (4884, 0.86602540378443871)]"
11741,"[(33003, 1.0), (10087, 0.86602540378443871), (19703, 0.86602540378443871), (25015, 0.86602540378443871), (1815, 0.86602540378443871), (13183, 0.86602540378443871), (15359, 0.86602540378443871), (10893, 0.86602540378443871), (20723, 0.86602540378443871), (19871, 0.86602540378443871)]"
31757,"[(31758, 1.0), (9260, 0.86602540378443871), (6746, 0.86602540378443871), (27833, 0.86602540378443871), (23199, 0.86602540378443871), (27831, 0.86602540378443871), (30191, 0.86602540378443871), (32915, 0.86602540378443871), (31552, 0.86602540378443871), (27, 0.86602540378443871)]"
19,"[(323, 0.77151674981045948), (16700, 0.7559289460184544), (12035, 0.7559289460184544), (1109, 0.7559289460184544), (4756, 0.7559289460184544), (32438, 0.7559289460184544), (22319, 0.71428571428571419), (27899, 0.71428571428571419), (1535, 0.6761234037828131), (28223, 0.6761234037828131)]"
12365,"[(10030, 1.0), (1008, 1.0), (519, 1.0), (2454, 0.89442719099991586), (330, 0.89442719099991586), (190, 0.89442719099991586), (5865, 0.89442719099991586), (776, 0.89442719099991586), (7674, 0.86602540378443871), (587, 0.86602540378443871)]"
1535,"[(2994, 0.99999999999999978), (323, 0.9128709291752769), (1889, 0.89442719099991586), (934, 0.79999999999999982), (3652, 0.79999999999999982), (3713, 0.7745966692414834), (3614, 0.7745966692414834), (2781, 0.7745966692414834), (29837, 0.7745966692414834), (10620, 0.73029674334022143)]"
32366,"[(31174, 0.99999999999999978), (2743, 0.99999999999999978), (5118, 0.99999999999999978), (32026, 0.99999999999999978), (6064, 0.99999999999999978), (1196, 0.99999999999999978), (13677, 0.99999999999999978), (3956, 0.99999999999999978), (12823, 0.99999999999999978), (1066, 0.99999999999999978)]"
30654,"[(24833, 1.0), (32863, 1.0), (33513, 1.0), (28405, 1.0), (17649, 1.0), (31964, 0.89442719099991586), (1559, 0.89442719099991586), (22, 0.89442719099991586), (11813, 0.89442719099991586), (10731, 0.89442719099991586)]"
20583,"[(32935, 0.99999999999999978), (28891, 0.99999999999999978), (170, 0.99999999999999978), (29755, 0.99999999999999978), (30364, 0.99999999999999978), (9077, 0.99999999999999978), (16514, 0.99999999999999978), (2499, 0.9128709291752769), (2498, 0.9128709291752769), (1861, 0.9128709291752769)]"
19647,"[(263, 1.0), (5258, 1.0), (627, 1.0), (558, 1.0), (3226, 1.0), (24277, 1.0), (12069, 1.0), (18179, 1.0), (30413, 1.0), (18177, 1.0)]"
4282,"[(5205, 0.9128709291752769), (3783, 0.9128709291752769), (3782, 0.9128709291752769), (6637, 0.83333333333333348), (5204, 0.83333333333333348), (4789, 0.81649658092772615), (4280, 0.81649658092772615), (2593, 0.81649658092772615), (33263, 0.81649658092772615), (5630, 0.77151674981045948)]"
10379,"[(32983, 0.99999999999999978), (11665, 0.99999999999999978), (5300, 0.99999999999999978), (4081, 0.99999999999999978), (20651, 0.99999999999999978), (18849, 0.99999999999999978), (4181, 0.79999999999999982), (1524, 0.79999999999999982), (13993, 0.79999999999999982), (6787, 0.79999999999999982)]"
22135,"[(5040, 1.0000000000000002), (22831, 0.81649658092772592), (19515, 0.81649658092772592), (22507, 0.66666666666666674), (28881, 0.66666666666666674), (30952, 0.66666666666666674), (7661, 0.66666666666666674), (3111, 0.66666666666666674), (31588, 0.66666666666666674), (1209, 0.66666666666666674)]"
21329,"[(24701, 0.99999999999999989), (21939, 0.99999999999999989), (457, 0.99999999999999989), (28957, 0.99999999999999989), (24687, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
31043,"[(32867, 0.86602540378443871), (3713, 0.86602540378443871), (2781, 0.86602540378443871), (33071, 0.86602540378443871), (22319, 0.7559289460184544), (27899, 0.7559289460184544), (1889, 0.75), (14807, 0.75), (1594, 0.75), (228, 0.75)]"
7785,"[(33969, 0.81649658092772592), (8663, 0.81649658092772592), (21557, 0.66666666666666674), (2924, 0.66666666666666674), (790, 0.66666666666666674), (3713, 0.66666666666666674), (6927, 0.66666666666666674), (32491, 0.66666666666666674), (6783, 0.66666666666666674), (6948, 0.66666666666666674)]"
3297,"[(962, 1.0), (29893, 1.0), (2563, 1.0), (477, 1.0), (5244, 1.0), (5196, 1.0), (1254, 0.75), (6153, 0.75), (1255, 0.75), (2222, 0.75)]"
30709,"[(18661, 0.99999999999999978), (25681, 0.9128709291752769), (14713, 0.9128709291752769), (1907, 0.9128709291752769), (251, 0.79999999999999982), (16890, 0.79056941504209477), (24471, 0.7745966692414834), (15315, 0.7745966692414834), (20431, 0.7745966692414834), (7762, 0.7745966692414834)]"
6114,"[(7193, 0.89442719099991586), (30740, 0.86602540378443871), (838, 0.86602540378443871), (5682, 0.75), (7651, 0.75), (12035, 0.75), (33129, 0.75), (578, 0.70710678118654746), (2623, 0.70710678118654746), (2753, 0.70710678118654746)]"
31240,"[(4715, 1.0), (3420, 0.89442719099991586), (21027, 0.86602540378443871), (7257, 0.86602540378443871), (9756, 0.75), (11981, 0.75), (11979, 0.75), (11977, 0.75), (440, 0.75), (789, 0.75)]"
4565,"[(4416, 0.89442719099991586), (6288, 0.89442719099991586), (9241, 0.89442719099991586), (3223, 0.89442719099991586), (2361, 0.89442719099991586), (3222, 0.89442719099991586), (2176, 0.89442719099991586), (27655, 0.89442719099991586), (6428, 0.89442719099991586), (4371, 0.89442719099991586)]"
5300,"[(32983, 0.99999999999999978), (11665, 0.99999999999999978), (10379, 0.99999999999999978), (4081, 0.99999999999999978), (20651, 0.99999999999999978), (18849, 0.99999999999999978), (4181, 0.79999999999999982), (1524, 0.79999999999999982), (13993, 0.79999999999999982), (6787, 0.79999999999999982)]"
9989,"[(15039, 1.0000000000000002), (8142, 1.0000000000000002), (1530, 0.86602540378443871), (2004, 0.86602540378443871), (3449, 0.86602540378443871), (489, 0.86602540378443871), (101, 0.86602540378443871), (1965, 0.86602540378443871), (144, 0.86602540378443871), (704, 0.86602540378443871)]"
24415,"[(16894, 1.0), (30230, 1.0), (11771, 1.0), (18689, 1.0), (4053, 1.0), (16916, 1.0), (22125, 1.0), (15487, 1.0), (5751, 1.0), (19669, 1.0)]"
11577,"[(9253, 0.99999999999999978), (10863, 0.99999999999999978), (32188, 0.99999999999999978), (30484, 0.99999999999999978), (27387, 0.81649658092772592), (7598, 0.81649658092772592), (12723, 0.81649658092772592), (13429, 0.70710678118654746), (3268, 0.70710678118654746), (6610, 0.70710678118654746)]"
10408,"[(51, 0.89442719099991586), (5835, 0.86602540378443871), (506, 0.86602540378443871), (713, 0.86602540378443871), (6726, 0.86602540378443871), (2105, 0.86602540378443871), (1039, 0.86602540378443871), (677, 0.86602540378443871), (1607, 0.86602540378443871), (2071, 0.86602540378443871)]"
28171,"[(32282, 1.0000000000000002), (31327, 1.0000000000000002), (6882, 0.86602540378443871), (30250, 0.86602540378443871), (24531, 0.86602540378443871), (10775, 0.81649658092772592), (26159, 0.81649658092772592), (2602, 0.7745966692414834), (32603, 0.7745966692414834), (28819, 0.7745966692414834)]"
32995,"[(7720, 0.99999999999999978), (2159, 0.99999999999999978), (30311, 0.99999999999999978), (22673, 0.99999999999999978), (19671, 0.99999999999999978), (9124, 0.99999999999999978), (2228, 0.99999999999999978), (8423, 0.99999999999999978), (6999, 0.99999999999999978), (3550, 0.99999999999999978)]"
21899,"[(28977, 0.99999999999999989), (9969, 0.99999999999999989), (15335, 0.99999999999999989), (15417, 0.99999999999999989), (918, 0.99999999999999989), (7472, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
26055,"[(20899, 0.99999999999999978), (762, 0.99999999999999978), (31933, 0.9128709291752769), (154, 0.9128709291752769), (30503, 0.89442719099991586), (20507, 0.89442719099991586), (589, 0.89442719099991586), (2889, 0.89442719099991586), (2125, 0.89442719099991586), (1052, 0.89442719099991586)]"
7472,"[(28977, 0.99999999999999989), (9969, 0.99999999999999989), (15335, 0.99999999999999989), (15417, 0.99999999999999989), (918, 0.99999999999999989), (21899, 0.99999999999999989), (9735, 0.99999999999999989), (25313, 0.99999999999999989), (34096, 0.99999999999999989), (2951, 0.93541434669348522)]"
777,"[(6904, 0.92582009977255142), (270, 0.9128709291752769), (11077, 0.9128709291752769), (10681, 0.81649658092772615), (7728, 0.81649658092772615), (150, 0.77151674981045948), (33253, 0.73029674334022143), (30868, 0.73029674334022143), (31580, 0.73029674334022143), (32015, 0.73029674334022143)]"
22535,"[(32071, 0.86602540378443871), (395, 0.83333333333333348), (384, 0.83333333333333348), (22687, 0.83333333333333348), (31430, 0.83333333333333348), (32086, 0.83333333333333348), (1462, 0.81649658092772615), (26, 0.81649658092772615), (14345, 0.81649658092772615), (1629, 0.81649658092772615)]"
28735,"[(14145, 1.0000000000000002), (4485, 0.86602540378443871), (578, 0.81649658092772592), (2623, 0.81649658092772592), (2753, 0.81649658092772592), (1824, 0.81649658092772592), (19115, 0.81649658092772592), (2227, 0.81649658092772592), (10500, 0.81649658092772592), (25801, 0.81649658092772592)]"
12431,"[(22583, 0.99999999999999978), (9379, 0.89442719099991586), (17573, 0.89442719099991586), (23327, 0.7745966692414834), (15771, 0.7745966692414834), (20057, 0.7745966692414834), (12021, 0.7745966692414834), (10020, 0.7745966692414834), (15775, 0.7745966692414834), (32828, 0.7745966692414834)]"
28805,"[(10259, 0.99999999999999978), (13439, 0.99999999999999978), (199, 0.81649658092772592), (523, 0.81649658092772592), (32566, 0.81649658092772592), (484, 0.81649658092772592), (844, 0.81649658092772592), (3218, 0.81649658092772592), (5760, 0.81649658092772592), (911, 0.81649658092772592)]"
578,"[(2623, 0.99999999999999978), (2753, 0.99999999999999978), (1824, 0.99999999999999978), (19115, 0.99999999999999978), (2227, 0.99999999999999978), (10500, 0.99999999999999978), (5929, 0.99999999999999978), (9959, 0.99999999999999978), (1329, 0.99999999999999978), (2624, 0.99999999999999978)]"
16894,"[(24415, 1.0), (30230, 1.0), (11771, 1.0), (18689, 1.0), (4053, 1.0), (16916, 1.0), (22125, 1.0), (15487, 1.0), (5751, 1.0), (19669, 1.0)]"
5028,"[(5941, 0.89442719099991586), (11917, 0.86602540378443871), (7655, 0.86602540378443871), (9890, 0.86602540378443871), (587, 0.86602540378443871), (2460, 0.86602540378443871), (476, 0.86602540378443871), (710, 0.86602540378443871), (390, 0.86602540378443871), (1846, 0.86602540378443871)]"
21,"[(19123, 0.99999999999999989), (15323, 0.99999999999999989), (31289, 0.99999999999999989), (4155, 0.92582009977255142), (12859, 0.92582009977255142), (31490, 0.92582009977255142), (8740, 0.92582009977255142), (16239, 0.92582009977255142), (462, 0.92582009977255142), (33338, 0.92582009977255142)]"
801,"[(467, 0.92582009977255142), (1566, 0.92582009977255142), (10090, 0.92582009977255142), (2449, 0.85714285714285698), (10689, 0.84515425472851646), (10693, 0.84515425472851646), (9737, 0.84515425472851646), (43, 0.77151674981045948), (4672, 0.77151674981045948), (22677, 0.77151674981045948)]"
31933,"[(154, 1.0000000000000002), (26055, 0.9128709291752769), (20899, 0.9128709291752769), (479, 0.9128709291752769), (129, 0.9128709291752769), (2126, 0.9128709291752769), (762, 0.9128709291752769), (635, 0.9128709291752769), (4155, 0.83333333333333348), (12859, 0.83333333333333348)]"
5205,"[(3782, 0.99999999999999978), (4282, 0.9128709291752769), (5204, 0.9128709291752769), (4280, 0.89442719099991586), (2593, 0.89442719099991586), (3783, 0.79999999999999982), (6624, 0.79999999999999982), (6746, 0.7745966692414834), (27833, 0.7745966692414834), (23199, 0.7745966692414834)]"
17389,"[(12031, 1.0), (33433, 0.86602540378443871), (24527, 0.86602540378443871), (22031, 0.86602540378443871), (1167, 0.86602540378443871), (2318, 0.86602540378443871), (28067, 0.86602540378443871), (29, 0.81649658092772615), (6973, 0.75), (8800, 0.75)]"
170,"[(32935, 0.99999999999999978), (28891, 0.99999999999999978), (20583, 0.99999999999999978), (29755, 0.99999999999999978), (30364, 0.99999999999999978), (9077, 0.99999999999999978), (16514, 0.99999999999999978), (2499, 0.9128709291752769), (2498, 0.9128709291752769), (1861, 0.9128709291752769)]"
10162,"[(11113, 0.99999999999999978), (8129, 0.81649658092772592), (12815, 0.81649658092772592), (10178, 0.81649658092772592), (18745, 0.81649658092772592), (19841, 0.81649658092772592), (9754, 0.81649658092772592), (23213, 0.81649658092772592), (3965, 0.70710678118654746), (5984, 0.70710678118654746)]"
18617,"[(18619, 0.99999999999999978), (14131, 0.99999999999999978), (32740, 0.99999999999999978), (15811, 0.99999999999999978), (18343, 0.99999999999999978), (32741, 0.99999999999999978), (33658, 0.99999999999999978), (29853, 0.99999999999999978), (23137, 0.99999999999999978), (16199, 0.99999999999999978)]"
32182,"[(31442, 0.89442719099991586), (8408, 0.86602540378443871), (10502, 0.86602540378443871), (6413, 0.86602540378443871), (32954, 0.86602540378443871), (24663, 0.86602540378443871), (33562, 0.86602540378443871), (32143, 0.86602540378443871), (2004, 0.75), (9062, 0.75)]"
877,"[(1869, 1.0000000000000002), (328, 0.9128709291752769), (7575, 0.9128709291752769), (23177, 0.9128709291752769), (1698, 0.83333333333333348), (122, 0.83333333333333348), (21995, 0.83333333333333348), (120, 0.83333333333333348), (145, 0.83333333333333348), (604, 0.83333333333333348)]"
2251,"[(3901, 1.0000000000000002), (31478, 0.9128709291752769), (8915, 0.81649658092772615), (33253, 0.73029674334022143), (30868, 0.73029674334022143), (31580, 0.73029674334022143), (32015, 0.73029674334022143), (30869, 0.73029674334022143), (15109, 0.73029674334022143), (1013, 0.73029674334022143)]"
24687,"[(24701, 0.99999999999999989), (21939, 0.99999999999999989), (457, 0.99999999999999989), (28957, 0.99999999999999989), (21329, 0.99999999999999989), (2246, 0.71428571428571419), (5530, 0.6761234037828131), (5538, 0.6761234037828131), (1013, 0.6761234037828131), (7904, 0.6761234037828131)]"
16498,"[(18397, 0.99999999999999978), (23777, 0.99999999999999978), (23775, 0.99999999999999978), (19285, 0.99999999999999978), (25777, 0.99999999999999978), (3515, 0.89442719099991586), (21, 0.84515425472851646), (19123, 0.84515425472851646), (15323, 0.84515425472851646), (31289, 0.84515425472851646)]"
10030,"[(12365, 1.0), (1008, 1.0), (519, 1.0), (2454, 0.89442719099991586), (330, 0.89442719099991586), (190, 0.89442719099991586), (5865, 0.89442719099991586), (776, 0.89442719099991586), (7674, 0.86602540378443871), (587, 0.86602540378443871)]"
5941,"[(5028, 0.89442719099991586), (23847, 0.89442719099991586), (14813, 0.89442719099991586), (15379, 0.89442719099991586), (729, 0.89442719099991586), (1569, 0.89442719099991586), (1734, 0.89442719099991586), (1725, 0.89442719099991586), (17893, 0.89442719099991586), (33036, 0.89442719099991586)]"
30346,"[(30015, 0.86602540378443871), (18729, 0.86602540378443871), (1912, 0.86602540378443871), (4224, 0.75), (6045, 0.75), (9656, 0.75), (4059, 0.75), (21405, 0.75), (24151, 0.75), (24913, 0.75)]"
3784,"[(2759, 1.0000000000000002), (2448, 1.0000000000000002), (19319, 1.0000000000000002), (3785, 1.0000000000000002), (22729, 1.0000000000000002), (13391, 1.0000000000000002), (24625, 1.0000000000000002), (25731, 1.0000000000000002), (32245, 1.0000000000000002), (24469, 1.0000000000000002)]"
13125,"[(239, 0.79999999999999982), (1243, 0.79999999999999982), (999, 0.79056941504209477), (1281, 0.7745966692414834), (1548, 0.7745966692414834), (30825, 0.7745966692414834), (1508, 0.7745966692414834), (22055, 0.7745966692414834), (6978, 0.7745966692414834), (33761, 0.7745966692414834)]"
12029,"[(3016, 0.99999999999999978), (2158, 0.99999999999999978), (23249, 0.99999999999999978), (1034, 0.99999999999999978), (3067, 0.99999999999999978), (5763, 0.99999999999999978), (23931, 0.99999999999999978), (31433, 0.99999999999999978), (33064, 0.99999999999999978), (6336, 0.9128709291752769)]"
14397,"[(10800, 0.99999999999999978), (10178, 0.7745966692414834), (1083, 0.7745966692414834), (32947, 0.7745966692414834), (31646, 0.67082039324993692), (5984, 0.67082039324993692), (10162, 0.63245553203367588), (2921, 0.63245553203367588), (2402, 0.63245553203367588), (11113, 0.63245553203367588)]"
10087,"[(19703, 1.0000000000000002), (25015, 1.0000000000000002), (1815, 1.0000000000000002), (13183, 1.0000000000000002), (15359, 1.0000000000000002), (10893, 1.0000000000000002), (20723, 1.0000000000000002), (19871, 1.0000000000000002), (10545, 1.0000000000000002), (30091, 1.0000000000000002)]"
14719,"[(30503, 0.89442719099991586), (20507, 0.89442719099991586), (2889, 0.89442719099991586), (2125, 0.89442719099991586), (1052, 0.89442719099991586), (25591, 0.89442719099991586), (26055, 0.79999999999999982), (20899, 0.79999999999999982), (30347, 0.79999999999999982), (28927, 0.79999999999999982)]"
9756,"[(11981, 1.0), (11979, 1.0), (11977, 1.0), (32153, 1.0), (21027, 0.86602540378443871), (31240, 0.75), (4715, 0.75), (12035, 0.75), (23283, 0.70710678118654746), (689, 0.70710678118654746)]"
